Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
1,3,0,0,0,0,0,0,0,0,REGGINA,home,0,0,3,5,0,0,0,0,0,0,21,28,1,0,4,0,0,0,0,0,0,7,6,15,9,2,2,0,0,SIENA,2004-05,5,9,3,7,2,2,0,0
3,1,0,0,0,0,0,0,0,0,SIENA,away,0,0,5,3,0,0,0,0,0,0,28,21,0,1,4,0,0,0,0,0,0,6,7,9,15,2,2,0,0,REGGINA,2004-05,9,5,7,3,2,2,0,0
3,5,1,1,0,0,0,0,0,0,BRESCIA,home,0,0,8,5,0,0,0,0,1,0,22,18,4,2,4,1,2,0,0,0,0,6,4,8,12,2,3,0,1,UDINESE,2004-05,13,11,9,7,4,4,0,0
5,3,1,1,0,0,0,0,0,0,UDINESE,away,0,0,5,8,0,0,0,0,0,1,18,22,2,4,4,2,1,0,0,0,0,4,6,12,8,3,2,1,0,BRESCIA,2004-05,11,13,7,9,4,4,0,0
4,5,3,7,7,5,4,4,13,16,MILAN,home,2,3,3,10,11,17,0,0,0,1,25,16,2,0,4,1,2,9,12,1,0,13,18,16,16,3,1,0,0,LAZIO,2004-05,3,8,0,3,3,5,0,0
5,4,7,3,5,7,4,4,16,13,LAZIO,away,3,2,10,3,17,11,0,0,1,0,16,25,0,2,4,2,1,12,9,0,1,18,13,16,16,1,3,0,0,MILAN,2004-05,8,3,3,0,5,3,0,0
2,3,2,2,0,0,0,0,0,0,BRESCIA,home,0,0,2,4,0,0,0,0,1,1,23,14,4,6,5,2,1,0,0,0,0,11,10,6,8,3,1,1,0,CAGLIARI,2004-05,4,8,1,4,3,4,0,0
3,2,2,2,0,0,0,0,0,0,CAGLIARI,away,0,0,4,2,0,0,0,0,1,1,14,23,6,4,5,1,2,0,0,0,0,10,11,8,6,1,3,0,1,BRESCIA,2004-05,8,4,4,1,4,3,0,0
2,3,1,1,6,6,2,2,13,11,LECCE,home,3,4,11,4,6,7,0,0,0,0,28,23,2,5,5,2,1,24,12,1,0,17,18,14,12,0,1,0,0,CHIEVOVERONA,2004-05,4,2,1,2,3,0,0,0
3,2,1,1,6,6,2,2,11,13,CHIEVOVERONA,away,4,3,4,11,7,6,0,0,0,0,23,28,5,2,5,1,2,12,24,0,1,18,17,12,14,1,0,0,0,LECCE,2004-05,2,4,2,1,0,3,0,0
0,1,1,0,0,0,0,0,0,0,LAZIO,home,0,0,0,9,0,0,0,0,0,0,22,24,1,1,5,1,1,0,0,0,0,2,0,3,5,10,2,0,0,ATALANTA,2004-05,8,19,5,8,3,11,0,0
1,0,0,1,0,0,0,0,0,0,ATALANTA,away,0,0,9,0,0,0,0,0,0,0,24,22,1,1,5,1,1,0,0,0,0,0,2,5,3,2,10,0,0,LAZIO,2004-05,19,8,8,5,11,3,0,0
1,0,4,1,0,0,0,0,0,0,SIENA,home,0,0,1,2,0,0,0,0,0,0,23,18,1,2,5,4,1,0,0,0,1,7,6,11,8,5,4,1,0,MESSINA,2004-05,17,14,8,7,9,7,0,0
0,1,1,4,0,0,0,0,0,0,MESSINA,away,0,0,2,1,0,0,0,0,0,0,18,23,2,1,5,1,4,0,0,1,0,6,7,8,11,4,5,0,1,SIENA,2004-05,14,17,7,8,7,9,0,0
1,4,2,1,0,0,0,0,0,0,REGGINA,home,0,0,4,2,0,0,0,0,0,0,15,20,6,4,5,3,1,0,0,0,0,10,12,11,11,3,4,0,0,MILAN,2004-05,13,8,6,4,7,4,0,0
4,1,1,2,0,0,0,0,0,0,MILAN,away,0,0,2,4,0,0,0,0,0,0,20,15,4,6,5,1,3,0,0,0,0,12,10,11,11,4,3,0,0,REGGINA,2004-05,8,13,4,6,4,7,0,0
1,3,1,0,0,0,0,0,0,0,BOLOGNA,home,0,0,5,4,0,0,0,0,0,0,25,28,2,2,5,1,0,0,0,0,0,5,6,9,2,4,4,0,0,PALERMO,2004-05,14,10,9,6,5,4,0,0
3,1,0,1,0,0,0,0,0,0,PALERMO,away,0,0,4,5,0,0,0,0,0,0,28,25,2,2,5,0,1,0,0,0,0,6,5,2,9,4,4,0,0,BOLOGNA,2004-05,10,14,6,9,4,5,0,0
3,1,5,2,0,0,0,0,0,0,FIORENTINA,home,0,0,6,4,0,0,0,1,0,0,21,22,4,1,5,0,0,0,0,0,0,7,5,7,6,3,5,0,0,PARMA,2004-05,9,4,4,1,5,3,0,0
1,3,2,5,0,0,0,0,0,0,PARMA,away,0,0,4,6,0,0,1,0,0,0,22,21,1,4,5,0,0,0,0,0,0,5,7,6,7,5,3,0,0,FIORENTINA,2004-05,4,9,1,4,3,5,0,0
2,5,2,1,0,0,0,0,0,0,LIVORNO,home,0,0,9,1,0,0,0,0,0,0,30,16,2,0,5,2,0,0,0,1,1,17,12,11,15,6,5,0,0,SAMPDORIA,2004-05,13,8,5,1,8,7,0,0
5,2,1,2,0,0,0,0,0,0,SAMPDORIA,away,0,0,1,9,0,0,0,0,0,0,16,30,0,2,5,0,2,0,0,1,1,12,17,15,11,5,6,0,0,LIVORNO,2004-05,8,13,1,5,7,8,0,0
4,2,0,3,0,0,0,0,0,0,JUVENTUS,home,0,0,2,9,0,0,0,0,0,0,20,16,3,3,5,0,1,0,0,0,1,12,18,18,12,6,3,0,0,UDINESE,2004-05,7,15,4,7,3,8,0,0
2,4,3,0,0,0,0,0,0,0,UDINESE,away,0,0,9,2,0,0,0,0,0,0,16,20,3,3,5,1,0,0,0,1,0,18,12,12,18,3,6,0,0,JUVENTUS,2004-05,15,7,7,4,8,3,0,0
2,2,2,3,5,4,3,7,10,12,INTER,home,0,1,9,6,11,14,0,0,0,0,17,19,3,1,5,3,3,8,4,0,0,16,20,17,14,1,0,0,0,ROMA,2004-05,2,4,0,0,2,4,0,0
2,2,3,2,4,5,7,3,12,10,ROMA,away,1,0,6,9,14,11,0,0,0,0,19,17,1,3,5,3,3,4,8,0,0,20,16,14,17,0,1,0,0,INTER,2004-05,4,2,0,0,4,2,0,0
3,1,5,6,0,0,0,0,0,0,ROMA,home,0,0,5,4,0,0,0,0,0,0,14,16,2,4,6,0,2,0,0,0,0,6,2,2,5,3,5,0,0,LIVORNO,2004-05,13,12,8,7,5,5,0,0
1,3,6,5,0,0,0,0,0,0,LIVORNO,away,0,0,4,5,0,0,0,0,0,0,16,14,4,2,6,2,0,0,0,0,0,2,6,5,2,5,3,0,0,ROMA,2004-05,12,13,7,8,5,5,0,0
1,2,5,2,7,5,5,4,15,8,MESSINA,home,1,1,8,3,13,16,0,0,0,0,17,20,2,1,6,2,1,9,17,0,0,17,26,20,17,1,2,0,0,JUVENTUS,2004-05,7,2,3,0,4,2,0,0
2,1,2,5,5,7,4,5,8,15,JUVENTUS,away,1,1,3,8,16,13,0,0,0,0,20,17,1,2,6,1,2,17,9,0,0,26,17,17,20,2,1,0,0,MESSINA,2004-05,2,7,0,3,2,4,0,0
3,4,3,1,0,0,0,0,0,0,ATALANTA,home,0,0,5,10,0,0,0,0,0,0,30,19,9,2,6,2,1,0,0,0,0,3,5,3,3,7,6,1,0,BOLOGNA,2004-05,12,11,4,3,8,8,0,0
4,3,1,3,0,0,0,0,0,0,BOLOGNA,away,0,0,10,5,0,0,0,0,0,0,19,30,2,9,6,1,2,0,0,0,0,5,3,3,3,6,7,0,1,ATALANTA,2004-05,11,12,3,4,8,8,0,0
5,3,5,1,0,0,0,0,0,0,PARMA,home,0,0,3,3,0,0,0,0,0,0,25,24,4,3,6,3,1,0,0,0,0,7,2,9,7,2,2,0,0,BRESCIA,2004-05,10,6,5,3,5,3,0,0
3,5,1,5,0,0,0,0,0,0,BRESCIA,away,0,0,3,3,0,0,0,0,0,0,24,25,3,4,6,1,3,0,0,0,0,2,7,7,9,2,2,0,0,PARMA,2004-05,6,10,3,5,3,5,0,0
