Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Avversaria,Campo,Corner,Corner avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
1,2,2,2,PALERMO,home,6,6,,,,,24,16,3,3,4,1,0,1,0,9,10,14,10,9,2,0,0,PARMA,2009-10,10,13,6,5,4,8,0,0
2,1,2,2,PARMA,away,6,6,,,,,16,24,3,3,4,0,1,0,1,10,9,10,14,2,9,0,0,PALERMO,2009-10,13,10,5,6,8,4,0,0
3,2,2,0,SIENA,home,3,11,,,,,26,11,4,2,4,4,1,0,0,12,14,11,8,3,4,0,0,SAMPDORIA,2009-10,11,6,3,2,8,4,0,0
2,3,0,2,SAMPDORIA,away,11,3,,,,,11,26,2,4,4,1,4,0,0,14,12,8,11,4,3,0,0,SIENA,2009-10,6,11,2,3,4,8,0,0
0,3,2,1,FIORENTINA,home,6,6,,,,,16,16,5,4,4,3,1,0,0,13,12,15,13,2,4,1,0,ROMA,2009-10,11,5,4,2,7,3,0,0
3,0,1,2,ROMA,away,6,6,,,,,16,16,4,5,4,1,3,0,0,12,13,13,15,4,2,0,1,FIORENTINA,2009-10,5,11,2,4,3,7,0,0
5,5,1,1,CATANIA,home,7,5,0,0,0,0,21,19,0,4,5,0,0,0,1,10,8,8,9,4,4,0,0,ATALANTA,2009-10,8,11,4,6,4,5,0,0
5,5,1,1,ATALANTA,away,5,7,0,0,0,0,19,21,4,0,5,0,0,1,0,8,10,9,8,4,4,0,0,CATANIA,2009-10,11,8,6,4,5,4,0,0
2,3,1,1,CAGLIARI,home,4,4,0,0,0,0,18,10,0,0,5,0,1,0,0,28,15,8,17,3,4,0,0,BARI,2009-10,6,11,2,7,4,4,0,0
3,2,1,1,BARI,away,4,4,0,0,0,0,10,18,0,0,5,1,0,0,0,15,28,17,8,4,3,0,0,CAGLIARI,2009-10,11,6,7,2,4,4,0,0
1,1,5,2,LIVORNO,home,5,2,0,0,0,0,17,22,5,10,5,2,0,1,0,12,15,15,12,4,1,0,0,BOLOGNA,2009-10,6,13,2,9,4,4,0,0
1,1,2,5,BOLOGNA,away,2,5,0,0,0,0,22,17,10,5,5,0,2,0,1,15,12,12,15,1,4,0,0,LIVORNO,2009-10,13,6,9,2,4,4,0,0
