Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario
3,3,9,5,0,0,0,0,0,0,PARMA,away,0,0,4,3,0,0,0,0,0,0,32,19,9,3,4,4,0,0,0,0,0,0,0,21,15,15,21,3,6,0,0,ROMA,2006-07,18,12,8,9,0,0,10,3,0,0,0,0
3,5,3,3,0,0,0,0,0,0,TORINO,home,0,0,7,2,0,0,0,0,0,0,26,22,5,4,4,1,1,0,0,0,0,1,0,10,7,6,4,1,2,0,0,REGGINA,2006-07,11,11,7,9,0,0,4,2,0,0,0,0
5,3,3,3,0,0,0,0,0,0,REGGINA,away,0,0,2,7,0,0,0,0,0,0,22,26,4,5,4,1,1,0,0,0,0,0,1,7,10,4,6,2,1,0,0,TORINO,2006-07,11,11,9,7,0,0,2,4,0,0,0,0
2,3,5,5,0,0,0,0,0,0,CAGLIARI,home,0,0,4,3,0,0,1,0,0,0,19,27,5,3,4,0,0,0,0,0,0,0,0,6,5,3,4,4,3,0,0,SIENA,2006-07,7,11,4,7,0,0,3,4,0,0,0,0
3,2,5,5,0,0,0,0,0,0,SIENA,away,0,0,3,4,0,0,0,1,0,0,27,19,3,5,4,0,0,0,0,0,0,0,0,5,6,4,3,3,4,0,0,CAGLIARI,2006-07,11,7,7,4,0,0,4,3,0,0,0,0
2,2,2,4,7,6,4,2,11,12,FIORENTINA,home,2,1,4,7,10,6,0,0,0,0,22,20,4,2,4,1,0,12,9,0,0,0,0,17,24,19,13,4,1,0,0,UDINESE,2006-07,3,5,1,1,0,0,2,4,0,0,0,0
2,2,4,2,6,7,2,4,12,11,UDINESE,away,1,2,7,4,6,10,0,0,0,0,20,22,2,4,4,0,1,9,12,0,0,0,0,24,17,13,19,1,4,0,0,FIORENTINA,2006-07,5,3,1,1,0,0,4,2,0,0,0,0
3,3,1,2,0,0,0,0,0,0,REGGINA,home,0,0,3,5,0,0,0,0,0,0,34,13,4,0,5,1,1,0,0,,,0,0,2,5,8,4,1,5,0,0,ATALANTA,2006-07,13,11,7,9,,,6,2,0,0,,
3,3,2,1,0,0,0,0,0,0,ATALANTA,away,0,0,5,3,0,0,0,0,0,0,13,34,0,4,5,1,1,0,0,,,0,0,5,2,4,8,5,1,0,0,REGGINA,2006-07,11,13,9,7,,,2,6,0,0,,
1,1,0,3,8,9,3,4,8,4,LAZIO,home,0,4,5,4,16,12,0,0,0,0,15,16,1,8,5,0,4,19,15,,,0,1,12,11,10,11,2,2,0,1,TORINO,2006-07,6,9,4,3,,,2,6,0,0,,
