Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
1,1,MILAN,home,0,0,,,16,0,2,BOLOGNA,2002-03
1,1,BOLOGNA,away,0,0,,,16,2,0,MILAN,2002-03
1,2,ATALANTA,home,0,1,,,16,1,1,COMO,2002-03
2,1,COMO,away,1,0,,,16,1,1,ATALANTA,2002-03
2,2,MODENA,home,0,0,,,16,2,0,INTER,2002-03
2,2,INTER,away,0,0,,,16,0,2,MODENA,2002-03
1,2,REGGINA,home,0,0,,,16,5,0,JUVENTUS,2002-03
2,1,JUVENTUS,away,0,0,,,16,0,5,REGGINA,2002-03
1,2,PARMA,home,0,0,,,16,1,1,PIACENZA,2002-03
2,1,PIACENZA,away,0,0,,,16,1,1,PARMA,2002-03
0,2,CHIEVOVERONA,home,0,0,,,16,0,1,ROMA,2002-03
2,0,ROMA,away,0,0,,,16,1,0,CHIEVOVERONA,2002-03
1,4,PERUGIA,home,0,0,,,16,0,0,UDINESE,2002-03
4,1,UDINESE,away,0,0,,,16,0,0,PERUGIA,2002-03
2,2,EMPOLI,home,0,0,0,0,17,2,0,PARMA,2002-03
2,2,PARMA,away,0,0,0,0,17,0,2,EMPOLI,2002-03
3,3,BOLOGNA,home,0,0,0,0,17,1,0,REGGINA,2002-03
3,3,REGGINA,away,0,0,0,0,17,0,1,BOLOGNA,2002-03
2,2,ROMA,home,0,1,0,0,17,2,1,ATALANTA,2002-03
2,2,ATALANTA,away,1,0,0,0,17,1,2,ROMA,2002-03
1,1,JUVENTUS,home,0,0,1,0,17,1,4,CHIEVOVERONA,2002-03
1,1,CHIEVOVERONA,away,0,0,0,1,17,4,1,JUVENTUS,2002-03
3,1,UDINESE,home,0,0,0,1,17,2,1,LAZIO,2002-03
1,3,LAZIO,away,0,0,1,0,17,1,2,UDINESE,2002-03
1,3,PIACENZA,home,0,0,0,0,17,2,1,MILAN,2002-03
3,1,MILAN,away,0,0,0,0,17,1,2,PIACENZA,2002-03
1,3,BRESCIA,home,0,0,0,0,17,0,0,MODENA,2002-03
3,1,MODENA,away,0,0,0,0,17,0,0,BRESCIA,2002-03
5,1,INTER,home,0,0,0,1,17,4,1,PERUGIA,2002-03
1,5,PERUGIA,away,0,0,1,0,17,1,4,INTER,2002-03
1,3,COMO,home,0,0,0,0,17,0,0,TORINO,2002-03
3,1,TORINO,away,0,0,0,0,17,0,0,COMO,2002-03
4,0,ROMA,home,0,1,0,0,18,2,0,COMO,2002-03
0,4,COMO,away,1,0,0,0,18,0,2,ROMA,2002-03
2,3,ATALANTA,home,0,0,0,0,18,0,2,MODENA,2002-03
3,2,MODENA,away,0,0,0,0,18,2,0,ATALANTA,2002-03
0,4,TORINO,home,0,1,0,0,18,2,2,BOLOGNA,2002-03
4,0,BOLOGNA,away,1,0,0,0,18,2,2,TORINO,2002-03
1,0,PARMA,home,0,0,0,0,18,1,1,BRESCIA,2002-03
0,1,BRESCIA,away,0,0,0,0,18,1,1,PARMA,2002-03
0,1,EMPOLI,home,0,0,0,0,18,3,0,INTER,2002-03
1,0,INTER,away,0,0,0,0,18,0,3,EMPOLI,2002-03
1,1,PIACENZA,home,0,1,0,0,18,2,0,JUVENTUS,2002-03
1,1,JUVENTUS,away,1,0,0,0,18,0,2,PIACENZA,2002-03
3,2,REGGINA,home,0,0,0,0,18,0,1,LAZIO,2002-03
2,3,LAZIO,away,0,0,0,0,18,1,0,REGGINA,2002-03
4,5,CHIEVOVERONA,home,0,0,0,0,18,1,0,PERUGIA,2002-03
5,4,PERUGIA,away,0,0,0,0,18,0,1,CHIEVOVERONA,2002-03
1,2,MILAN,home,0,0,1,0,18,1,0,UDINESE,2002-03
2,1,UDINESE,away,0,0,0,1,18,0,1,MILAN,2002-03
2,2,BRESCIA,home,0,0,0,0,19,1,4,PIACENZA,2002-03
2,2,PIACENZA,away,0,0,0,0,19,4,1,BRESCIA,2002-03
0,0,BOLOGNA,home,0,0,0,0,19,3,1,ROMA,2002-03
0,0,ROMA,away,0,0,0,0,19,1,3,BOLOGNA,2002-03
1,1,JUVENTUS,home,1,0,0,0,19,1,1,ATALANTA,2002-03
1,1,ATALANTA,away,0,1,0,0,19,1,1,JUVENTUS,2002-03
1,1,LAZIO,home,0,0,0,0,19,1,1,CHIEVOVERONA,2002-03
1,1,CHIEVOVERONA,away,0,0,0,0,19,1,1,LAZIO,2002-03
2,0,COMO,home,0,0,0,0,19,0,0,EMPOLI,2002-03
0,2,EMPOLI,away,0,0,0,0,19,0,0,COMO,2002-03
1,3,MODENA,home,0,0,0,0,19,2,1,MILAN,2002-03
3,1,MILAN,away,0,0,0,0,19,1,2,MODENA,2002-03
2,1,UDINESE,home,0,0,1,1,19,3,2,PARMA,2002-03
1,2,PARMA,away,0,0,1,1,19,2,3,UDINESE,2002-03
3,3,PERUGIA,home,0,0,0,0,19,3,1,REGGINA,2002-03
3,3,REGGINA,away,0,0,0,0,19,1,3,PERUGIA,2002-03
2,1,INTER,home,0,0,0,0,19,0,2,TORINO,2002-03
1,2,TORINO,away,0,0,0,0,19,2,0,INTER,2002-03
0,2,EMPOLI,home,0,0,,,20,1,0,JUVENTUS,2002-03
2,0,JUVENTUS,away,0,0,,,20,0,1,EMPOLI,2002-03
