Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
CAGLIARI,home,0,0,17,0,1,PESCARA,1992-93
PESCARA,away,0,0,17,1,0,CAGLIARI,1992-93
BRESCIA,home,1,0,17,1,0,SAMPDORIA,1992-93
SAMPDORIA,away,0,1,17,0,1,BRESCIA,1992-93
INTER,home,0,0,17,1,2,TORINO,1992-93
TORINO,away,0,0,17,2,1,INTER,1992-93
ROMA,home,1,0,17,1,2,UDINESE,1992-93
UDINESE,away,0,1,17,2,1,ROMA,1992-93
TORINO,home,0,0,18,0,1,ANCONA,1992-93
ANCONA,away,0,0,18,1,0,TORINO,1992-93
NAPOLI,home,0,0,18,2,1,BRESCIA,1992-93
BRESCIA,away,0,0,18,1,2,NAPOLI,1992-93
MILAN,home,0,0,18,2,2,FOGGIA,1992-93
FOGGIA,away,0,0,18,2,2,MILAN,1992-93
FIORENTINA,home,0,0,18,2,2,GENOA,1992-93
GENOA,away,0,0,18,2,2,FIORENTINA,1992-93
UDINESE,home,0,0,18,2,2,INTER,1992-93
INTER,away,0,0,18,2,2,UDINESE,1992-93
CAGLIARI,home,0,0,18,2,1,JUVENTUS,1992-93
JUVENTUS,away,0,0,18,1,2,CAGLIARI,1992-93
SAMPDORIA,home,0,1,18,2,1,LAZIO,1992-93
LAZIO,away,1,0,18,1,2,SAMPDORIA,1992-93
ATALANTA,home,0,0,18,0,0,PARMA,1992-93
PARMA,away,0,0,18,0,0,ATALANTA,1992-93
ROMA,home,0,0,18,1,1,PESCARA,1992-93
PESCARA,away,0,0,18,1,1,ROMA,1992-93
JUVENTUS,home,0,0,19,2,1,ATALANTA,1992-93
ATALANTA,away,0,0,19,1,2,JUVENTUS,1992-93
INTER,home,0,0,19,0,0,CAGLIARI,1992-93
CAGLIARI,away,0,0,19,0,0,INTER,1992-93
LAZIO,home,0,0,19,0,2,FIORENTINA,1992-93
FIORENTINA,away,0,0,19,2,0,LAZIO,1992-93
PESCARA,home,0,0,19,4,0,MILAN,1992-93
MILAN,away,0,0,19,0,4,PESCARA,1992-93
FOGGIA,home,0,0,19,2,0,NAPOLI,1992-93
NAPOLI,away,0,0,19,0,2,FOGGIA,1992-93
GENOA,home,0,1,19,3,0,ROMA,1992-93
ROMA,away,1,0,19,0,3,GENOA,1992-93
ANCONA,home,0,0,19,3,1,SAMPDORIA,1992-93
SAMPDORIA,away,0,0,19,1,3,ANCONA,1992-93
BRESCIA,home,1,1,19,1,0,TORINO,1992-93
TORINO,away,1,1,19,0,1,BRESCIA,1992-93
PARMA,home,0,1,19,1,0,UDINESE,1992-93
UDINESE,away,1,0,19,0,1,PARMA,1992-93
FIORENTINA,home,0,0,20,2,1,ANCONA,1992-93
ANCONA,away,0,0,20,1,2,FIORENTINA,1992-93
MILAN,home,0,0,20,1,1,ATALANTA,1992-93
ATALANTA,away,0,0,20,1,1,MILAN,1992-93
ROMA,home,0,0,20,0,0,FOGGIA,1992-93
FOGGIA,away,0,0,20,0,0,ROMA,1992-93
NAPOLI,home,0,0,20,0,0,INTER,1992-93
INTER,away,0,0,20,0,0,NAPOLI,1992-93
GENOA,home,0,0,20,1,0,JUVENTUS,1992-93
JUVENTUS,away,0,0,20,0,1,GENOA,1992-93
CAGLIARI,home,0,0,20,1,2,LAZIO,1992-93
LAZIO,away,0,0,20,2,1,CAGLIARI,1992-93
TORINO,home,0,1,20,2,2,PARMA,1992-93
PARMA,away,1,0,20,2,2,TORINO,1992-93
BRESCIA,home,0,0,20,2,0,PESCARA,1992-93
PESCARA,away,0,0,20,0,2,BRESCIA,1992-93
UDINESE,home,0,0,20,2,0,SAMPDORIA,1992-93
SAMPDORIA,away,0,0,20,0,2,UDINESE,1992-93
PARMA,home,0,0,21,0,1,BRESCIA,1992-93
BRESCIA,away,0,0,21,1,0,PARMA,1992-93
ATALANTA,home,0,0,21,2,1,CAGLIARI,1992-93
CAGLIARI,away,0,0,21,1,2,ATALANTA,1992-93
INTER,home,0,0,21,2,2,FIORENTINA,1992-93
FIORENTINA,away,0,0,21,2,2,INTER,1992-93
LAZIO,home,0,1,21,2,3,GENOA,1992-93
GENOA,away,1,0,21,3,2,LAZIO,1992-93
SAMPDORIA,home,0,0,21,4,0,MILAN,1992-93
MILAN,away,0,0,21,0,4,SAMPDORIA,1992-93
ANCONA,home,0,0,21,0,0,NAPOLI,1992-93
NAPOLI,away,0,0,21,0,0,ANCONA,1992-93
JUVENTUS,home,0,0,21,2,1,ROMA,1992-93
ROMA,away,0,0,21,1,2,JUVENTUS,1992-93
PESCARA,home,0,0,21,3,1,TORINO,1992-93
TORINO,away,0,0,21,1,3,PESCARA,1992-93
FOGGIA,home,0,1,21,3,2,UDINESE,1992-93
UDINESE,away,1,0,21,2,3,FOGGIA,1992-93
GENOA,home,0,0,22,0,0,ANCONA,1992-93
ANCONA,away,0,0,22,0,0,GENOA,1992-93
INTER,home,0,0,22,1,1,ATALANTA,1992-93
ATALANTA,away,0,0,22,1,1,INTER,1992-93
BRESCIA,home,1,0,22,0,0,FOGGIA,1992-93
FOGGIA,away,0,1,22,0,0,BRESCIA,1992-93
NAPOLI,home,0,1,22,4,3,JUVENTUS,1992-93
JUVENTUS,away,1,0,22,3,4,NAPOLI,1992-93
FIORENTINA,home,0,1,22,2,0,MILAN,1992-93
MILAN,away,1,0,22,0,2,FIORENTINA,1992-93
LAZIO,home,0,1,22,2,1,PARMA,1992-93
PARMA,away,1,0,22,1,2,LAZIO,1992-93
UDINESE,home,0,0,22,2,2,PESCARA,1992-93
PESCARA,away,0,0,22,2,2,UDINESE,1992-93
CAGLIARI,home,1,0,22,1,1,ROMA,1992-93
ROMA,away,0,1,22,1,1,CAGLIARI,1992-93
TORINO,home,0,0,22,0,1,SAMPDORIA,1992-93
SAMPDORIA,away,0,0,22,1,0,TORINO,1992-93
PARMA,home,0,0,23,1,1,ANCONA,1992-93
ANCONA,away,0,0,23,1,1,PARMA,1992-93
JUVENTUS,home,0,0,23,2,0,BRESCIA,1992-93
BRESCIA,away,0,0,23,0,2,JUVENTUS,1992-93
SAMPDORIA,home,0,1,23,0,2,CAGLIARI,1992-93
CAGLIARI,away,1,0,23,2,0,SAMPDORIA,1992-93
PESCARA,home,0,0,23,2,0,FIORENTINA,1992-93
FIORENTINA,away,0,0,23,0,2,PESCARA,1992-93
FOGGIA,home,0,0,23,0,0,GENOA,1992-93
GENOA,away,0,0,23,0,0,FOGGIA,1992-93
ROMA,home,0,0,23,1,1,INTER,1992-93
INTER,away,0,0,23,1,1,ROMA,1992-93
MILAN,home,0,0,23,2,2,LAZIO,1992-93
LAZIO,away,0,0,23,2,2,MILAN,1992-93
UDINESE,home,0,0,23,3,0,NAPOLI,1992-93
NAPOLI,away,0,0,23,0,3,UDINESE,1992-93
ATALANTA,home,0,0,23,1,1,TORINO,1992-93
TORINO,away,0,0,23,1,1,ATALANTA,1992-93
LAZIO,home,0,0,24,2,2,ATALANTA,1992-93
ATALANTA,away,0,0,24,2,2,LAZIO,1992-93
BRESCIA,home,0,1,24,3,1,CAGLIARI,1992-93
CAGLIARI,away,1,0,24,1,3,BRESCIA,1992-93
ANCONA,home,0,0,24,1,0,FOGGIA,1992-93
FOGGIA,away,0,0,24,0,1,ANCONA,1992-93
INTER,home,0,0,24,0,2,JUVENTUS,1992-93
JUVENTUS,away,0,0,24,2,0,INTER,1992-93
PARMA,home,0,0,24,0,1,MILAN,1992-93
MILAN,away,0,0,24,1,0,PARMA,1992-93
